著者名,作品数(重複あり),作品数(重複無し),total青空文字数,文字収集率,total青空行数,行収集率,total青空録音時間(時:分:秒),録音収集率,accept文字数,accept行数,accept録音時間(時:分:秒),reject文字数,reject行数,reject録音時間(時:分:秒),daisy subフォルダー名
黒島伝治,4,4,38471,0.86,2198,0.868,00002:04:06,0.851,33078,1907,00001:45:36,5393,291,00000:18:31
佐々木邦,3,3,322702,0.726,16524,0.693,00016:19:15,0.684,234207,11448,00011:10:02,88495,5076,00005:09:13
佐々木味津三,41,41,908895,0.893,60045,0.89,00051:52:57,0.889,811475,53415,00046:06:59,97420,6630,00005:45:58
佐藤紅緑,2,2,235024,0.953,13428,0.949,00011:50:12,0.952,224030,12749,00011:16:18,10994,679,00000:33:54
佐藤春夫,4,3,16946,0.934,840,0.924,00000:45:53,0.93,15836,776,00000:42:40,1110,64,00000:03:14
左川ちか,1,1,195,0.944,30,0.767,00000:01:19,0.722,184,23,00000:00:57,11,7,00000:00:22
斎藤緑雨,2,2,40707,0.763,2603,0.757,00004:00:35,0.757,31050,1971,00003:02:04,9657,632,00000:58:31
坂口安吾,150,104,2399601,0.902,140295,0.901,00141:26:23,0.901,2163273,126411,00127:22:09,236328,13884,00014:04:14
三浦環,1,1,123099,0.931,7617,0.822,00008:11:50,0.842,114632,6261,00006:54:18,8467,1356,00001:17:32
三木清,1,1,70585,0.947,2958,0.944,00003:55:41,0.946,66870,2791,00003:43:02,3715,167,00000:12:39
三遊亭金馬,4,4,22972,0.788,911,0.825,00001:09:51,0.785,18094,752,00000:54:48,4878,159,00000:15:03
山川方夫,43,23,190585,0.955,13162,0.945,00011:10:00,0.945,181938,12439,00010:33:05,8647,723,00000:36:55
山本周五郎,266,159,6882911,0.857,437341,0.862,00393:44:30,0.861,5899965,376886,00338:57:59,982946,60455,00054:46:31
紫式部,107,55,2194670,0.84,92101,0.852,00116:11:21,0.851,1844501,78430,00098:53:50,350169,13671,00017:17:31
寺田寅彦,235,153,1749986,0.819,93342,0.833,00116:13:12,0.831,1433597,77742,00096:36:47,316389,15600,00019:36:25
室生犀星,3,3,63253,0.799,2482,0.838,00005:36:03,0.825,50511,2079,00004:37:08,12742,403,00000:58:55
若山牧水,1,1,2971,0.941,1019,0.157,00001:04:05,0.161,2795,160,00000:10:18,176,859,00000:53:46
種田山頭火,11,10,26397,0.874,2322,0.812,00001:52:22,0.811,23083,1885,00001:31:05,3314,437,00000:21:17
小金井喜美子,1,1,126710,0.88,5501,0.888,00007:03:51,0.869,111558,4885,00006:08:09,15152,616,00000:55:41
小栗虫太郎,4,3,89331,0.692,4434,0.735,00006:20:33,0.704,61775,3259,00004:27:53,27556,1175,00001:52:40
小山清,11,11,109314,0.921,8422,0.92,00006:59:19,0.915,100672,7745,00006:23:36,8642,677,00000:35:44
小酒井不木,6,6,50699,0.695,1684,0.79,00001:53:08,0.794,35250,1330,00001:29:47,15449,354,00000:23:21
小川未明,60,54,279503,0.785,15290,0.786,00021:15:23,0.772,219308,12011,00016:24:53,60195,3279,00004:50:30
小泉節子,1,1,30657,0.868,2261,0.881,00001:58:42,0.868,26598,1993,00001:43:05,4059,268,00000:15:37
小林多喜二,3,1,183444,0.81,11713,0.825,00009:09:18,0.822,148680,9659,00007:31:34,34764,2054,00001:37:44
織田作之助,22,14,554997,0.786,27723,0.811,00039:53:59,0.804,436292,22487,00032:03:45,118705,5236,00007:50:13
新美南吉,88,35,559243,0.788,33951,0.754,00030:26:18,0.754,440517,25585,00022:57:39,118726,8366,00007:28:39
森鴎外,14,13,300101,0.751,13961,0.785,00015:56:26,0.782,225395,10955,00012:27:49,74706,3006,00003:28:37
森下雨村,1,1,2822,0.919,152,0.934,00000:10:07,0.919,2594,142,00000:09:18,228,10,00000:00:49
須川邦彦,1,1,99481,0.926,3809,0.913,00005:19:12,0.889,92136,3477,00004:43:46,7345,332,00000:35:26
水上滝太郎,3,3,40037,0.837,2329,0.847,00002:10:29,0.833,33498,1972,00001:48:42,6539,357,00000:21:46
正岡子規,10,10,40095,0.686,2119,0.681,00002:53:45,0.663,27491,1442,00001:55:15,12604,677,00000:58:30
正岡容,5,5,110397,0.825,6986,0.803,00006:37:20,0.802,91084,5612,00005:18:43,19313,1374,00001:18:37
